nouvelleslitteraires	nouveau	title	"Nouvelles littéraires"											"Nouvelles littéraires"								t10010248-1982-03-CR.xml		
expositionasaintcloud	nouveau	name	"exposition à Saint-Cloud"											"exposition à Saint-Cloud"								t10010248-1982-03-CR.xml		
lectureaaixoubeaubourg	nouveau	name	"lecture à Aix ou Beaubourg"											"lecture à Aix ou Beaubourg"								t10010248-1982-03-CR.xml		
spectaclelectureavilleneuve	nouveau	name	"spectacle-lecture à Villeneuve"											"spectacle-lecture à Villeneuve"								t10010248-1982-03-CR.xml		
penserclasserabeaubourg	nouveau	name	"Penser-classer à Beaubourg"											"Penser-classer à Beaubourg"								t10010248-1982-03-CR.xml		
zerki	nouveau	persName	Zerki											Zerki								t10010248-1982-03-CR.xml		
spectacleperecavilleneuvelesavignon	nouveau	name	"spectacle Perec à Villeneuve lès Avignon"											"spectacle Perec à Villeneuve lès Avignon"								t10010248-1982-03-CR.xml		
mariejouanard	nouveau	persName	"Marie Jouanard"											"Marie Jouanard"								t10010248-1982-03-CR.xml		
emissionspecialesurgeorges	nouveau	name	"émission spéciale sur Georges"											"émission spéciale sur Georges"								t10010248-1982-03-CR.xml		
georgesperecmodedemploi	nouveau	title	"Georges Perec, mode d’emploi"											"Georges Perec, mode d’emploi"								t10010248-1982-03-CR.xml		
les50chosesquevousvoudriezfaireavantdemourir	nouveau	title	"les 50 choses que vous voudriez faire avant de mourir "											"les 50 choses que vous voudriez faire avant de mourir "								t10010248-1982-03-CR.xml		
lecture	nouveau	name	lecture											lecture								t10010248-1982-03-CR.xml		
millefeuille	nouveau	name	Millefeuille											Millefeuille								t10010248-1982-03-CR.xml		
antirimes	nouveau	term	Antirimes											Antirimes								t10010248-1982-03-CR.xml		
mezzanine	nouveau	term	mezzanine											mezzanine								"t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml"		
postrime	nouveau	term	postrime											postrime								t10010248-1982-03-CR.xml		
anterime	nouveau	term	antérime											antérime								t10010248-1982-03-CR.xml		
rime	nouveau	term	rime											rime								t10010248-1982-03-CR.xml		
philippot	nouveau	persName	Philippot											Philippot								"t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml"		
poemebooleen	nouveau	term	"poème booléen"											"poème booléen"								t10010248-1982-03-CR.xml		
rpreissnitz	nouveau	persName	"R. Preissnitz"											"R. Preissnitz"								t10010248-1982-03-CR.xml		
jacquesfulgence	nouveau	persName	"Jacques Fulgence"											"Jacques Fulgence"								t10010248-1982-03-CR.xml		
lesyeuxdelamour	nouveau	title	"Les Yeux de l’amour"											"Les Yeux de l’amour"								t10010248-1982-03-CR.xml		
lecturegpaumillefeuilles	nouveau	name	"Lecture GP au Millefeuilles"											"Lecture GP au Millefeuilles"								t10010248-1982-03-CR.xml		
texteena	nouveau	title	"Texte en A"											"Texte en A"								t10010248-1982-03-CR.xml		
jemesouviens	nouveau	title	"Je me souviens"											"Je me souviens"								t10010248-1982-03-CR.xml		
ladisparition	nouveau	title	"La Disparition"											"La Disparition"								t10010248-1982-03-CR.xml		
laviemodedemploi	nouveau	title	"La Vie mode d’emploi"											"La Vie mode d’emploi"								t10010248-1982-03-CR.xml		
unhommequidort	nouveau	title	"Un homme qui dort"											"Un homme qui dort"								t10010248-1982-03-CR.xml		
ellisisland	nouveau	title	"Ellis Island"											"Ellis Island"								t10010248-1982-03-CR.xml		
coumet	nouveau	persName	COUMET											COUMET								"t10010248-1982-03-CV.xml
t10010249-1982-04-CV.xml"		
stageoulipoamiens	nouveau	name	"stage Oulipo-Amiens"											"stage Oulipo-Amiens"								t10010248-1982-03-CV.xml		
lemillefeuille	nouveau	orgName	"Le Millefeuille"											"Le Millefeuille"								t10010248-1982-03-CV.xml		
chezpf	nouveau	placeName	"chez PF"											"chez PF"								t10010249-1982-04-CR.xml		
td	nouveau	persName	T.D											T.D								t10010249-1982-04-CR.xml		
colloquequeneauverviers	nouveau	name	"colloque Queneau Verviers"											"colloque Queneau Verviers"								t10010249-1982-04-CR.xml		
jmraynaud	nouveau	persName	"J.M Raynaud"											"J.M Raynaud"								t10010249-1982-04-CR.xml		
apercegorgees	nouveau	title	"A perce-gorgées"											"A perce-gorgées"								t10010249-1982-04-CR.xml		
tireuralaligne	nouveau	title	"Tireur à la ligne"											"Tireur à la ligne"								"t10010249-1982-04-CR.xml
t10010249-1982-04-CR.xml"		
exercicedestyle	nouveau	title	"Exercice de style"											"Exercice de style"								t10010249-1982-04-CR.xml		
acrostichedouble	nouveau	term	"acrostiche double"											"acrostiche double"								t10010249-1982-04-CR.xml		
palindromelipogrammatiquemonovocalique	nouveau	term	"palindrome lipogrammatique monovocalique "											"palindrome lipogrammatique monovocalique "								t10010249-1982-04-CR.xml		
