"id"	"forme"	"label"
"fleursdumal"	"Fleurs du mal"	"forme alternative"
"fleursdumal"	"Les Fleurs du Mal"	"forme préférée"
"fluideglacial"	"Fluide glacial"	"forme préférée"
"fluideglacial"	"Fluide glacial"	"forme alternative"
"foretracinelabyrinthe"	"Forêt. Racine. Labyrinthe"	"forme préférée"
"foretracinelabyrinthe"	"Forêts-labyrinthes"	"forme alternative"
"francaisparlamethodeassimil"	"Français par la méthode Assimil"	"forme préférée"
"francemusique"	"France-musique"	"forme préférée"
"francesoir"	"France-soir"	"forme préférée"
"frei"	"Frei"	"forme alternative"
"frei"	"Le Livre des deux mille phrases (Frei)"	"forme préférée"
"fromageoudessert"	"Fromage ou dessert ?"	"forme préférée"
"fronton"	"Fronton"	"forme préférée"
"fureurdelire"	"Fureur de lire"	"forme préférée"
"furor"	"Furor"	"forme préférée"
"gargantua"	"Gargantua"	"forme préférée"
"gatsby"	"Gatsby"	"forme préférée"
"gazettedesmathematiciens"	"Gazette des mathématiciens"	"forme préférée"
"generalizationofthesestina"	"Generalization of the sestina"	"forme préférée"
"genese"	"Genèse"	"forme préférée"
"georgesperecmodedemploi"	"Georges Perec, mode d’emploi"	"forme préférée"
"germinal"	"Germinal"	"forme préférée"
"gigantexte"	"Gigantexte"	"forme préférée"
"gigantexte"	"Gigantexte n°2"	"forme alternative"
"gilblas"	"Gil blas"	"forme préférée"
"graal"	"Graal"	"forme préférée"
"graaltheatre"	"Graal théâtre"	"forme préférée"
