"id"	"forme"	"label"
"lescerveauxreunis"	"Les Cerveaux réunis"	"forme préférée"
"lescerveauxreunis"	"Les cerveaux réunis"	"forme alternative"
"lescerveauxreunis"	"Les Cerveaux réunis"	"forme alternative"
"lesnoctambules"	"Les Noctambules"	"forme préférée"
"lespressesdelacite"	"Les Presses de la Cité"	"forme préférée"
"lhumanite"	"L’Humanité"	"forme préférée"
"librairiebiffures"	"Librairie Biffures"	"forme préférée"
"librairiedesmeridiens"	"Librairie des Méridiens"	"forme préférée"
"librairieducongres"	"Librairie du Congrès"	"forme préférée"
"librairiegallimard"	"Librairie Gallimard"	"forme préférée"
"librairiegallimard"	"Librairie Gallimard"	"forme alternative"
"librairieitalienne"	"Librairie italienne"	"forme préférée"
"librairieroutedelareine"	"Librairie Route de la Reine"	"forme préférée"
"literaturhaus"	"Literaturhaus"	"forme préférée"
"lmcm"	"Laboratoire de musique contemporaine de Montréal (LMCM)"	"forme préférée"
"lmcm"	"LMCM"	"forme alternative"
"lofficederadiodiffusiontelevisionfrancaise"	"L'Office de radiodiffusion-télévision française"	"forme préférée"
"madridinstitutfrancais"	"Institut français de Madrid"	"forme préférée"
"madridinstitutfrancais"	"Madrid. Institut français."	"forme alternative"
"magnard"	"Magnard"	"forme préférée"
"maisondelaculture"	"Maison de la Culture"	"forme préférée"
"maisondelaculturedecalais"	"Maison de la culture de Calais"	"forme préférée"
"maisondelapoesie"	"Maison de la Poésie"	"forme préférée"
"maisondesecrivains"	"Maison des Ecrivains"	"forme préférée"
"maisondesmots"	"Maison des Mots"	"forme préférée"
"maisondessciencesdelhomme"	"Maison des Sciences de l’homme"	"forme préférée"
"maisondessciencesdelhomme"	"Maison des Sciences de l’Homme"	"forme alternative"
"maisondugesteetdelimage"	"Maison du Geste et de l’Image"	"forme préférée"
"maisonvilmorinandrieux"	"Maison Vilmorin-Andrieux"	"forme préférée"
"manifestationdelapotentialiteuniverselle"	"Manifestation de la potentialité universelle"	"forme préférée"
"manufacture"	"Manufacture"	"forme préférée"
"martini"	"Martini"	"forme préférée"
"maspero"	"Maspéro"	"forme préférée"
"matin"	"Matin"	"forme préférée"
"mercuredefrance"	"Mercure"	"forme alternative"
"mercuredefrance"	"Mercure de France"	"forme préférée"
"messidor"	"Messidor"	"forme préférée"
"miam"	"MIAM"	"forme préférée"
"michiganromancestudies"	"Michigan Romance Studies"	"forme préférée"
"ministeredelindustrie"	"Ministère de l’Industrie"	"forme préférée"
